date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:38:32	1492/1492	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2009%20May%202025%2021:38:33%20GMT	https://southpark2-beige.vercel.app/robots.txt		(from )
23:38:32	18001/18001	---MCZ	200	added ('OK')	text/html	etag:W/%2233474df31025d5c7326af8fd0a20b653%22	https://southpark2-beige.vercel.app/	C:/Mes%20Sites%20Web/SOUTH%20PARK/southpark2-beige.vercel.app/index.html	(from )
23:38:32	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2009%20May%202025%2021:38:33%20GMT	https://southpark2-beige.vercel.app/assets/img/apple-touch-icon.png	C:/Mes%20Sites%20Web/SOUTH%20PARK/southpark2-beige.vercel.app/assets/img/apple-touch-icon.0.delayed	(from https://southpark2-beige.vercel.app/)
23:38:33	102649/102649	---M--	200	added ('OK')	image/png	etag:%22b36ee6140cd461ec2f3bab4eb8d712c8%22	https://southpark2-beige.vercel.app/assets/img/logo.png	C:/Mes%20Sites%20Web/SOUTH%20PARK/southpark2-beige.vercel.app/assets/img/logo.png	(from https://southpark2-beige.vercel.app/)
23:38:33	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2009%20May%202025%2021:38:34%20GMT	https://southpark2-beige.vercel.app/assets/img/site.html	C:/Mes%20Sites%20Web/SOUTH%20PARK/southpark2-beige.vercel.app/assets/img/site.2.delayed	(from https://southpark2-beige.vercel.app/)
23:38:33	799/799	---M--	200	added ('OK')	image/svg+xml	etag:%22489fbbee96e94b5162b2b9481269f1c2%22	https://southpark2-beige.vercel.app/assets/img/safari-pinned-tab.svg	C:/Mes%20Sites%20Web/SOUTH%20PARK/southpark2-beige.vercel.app/assets/img/safari-pinned-tab.svg	(from https://southpark2-beige.vercel.app/)
23:38:34	43888/43888	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%223bf26a4f03c92ed1207607f17261cc5f%22	https://southpark2-beige.vercel.app/assets/img/favicon.ico	C:/Mes%20Sites%20Web/SOUTH%20PARK/southpark2-beige.vercel.app/assets/img/favicon.ico	(from https://southpark2-beige.vercel.app/)
23:38:34	18279/18279	---MCZ	200	added ('OK')	text/css	etag:W/%228ee37a9736fe513e89abafe3eebd45dc%22	https://southpark2-beige.vercel.app/assets/css/main.css	C:/Mes%20Sites%20Web/SOUTH%20PARK/southpark2-beige.vercel.app/assets/css/main.css	(from https://southpark2-beige.vercel.app/)
23:38:34	657796/657796	---M--	200	added ('OK')	audio/mpeg	etag:%2241317ae6b52b1a2bf8ceeb017f3d5d76%22	https://southpark2-beige.vercel.app/assets/audio/audio.mp3	C:/Mes%20Sites%20Web/SOUTH%20PARK/southpark2-beige.vercel.app/assets/audio/audio.mp3	(from https://southpark2-beige.vercel.app/)
23:38:34	227151/227151	---M--	200	added ('OK')	image/png	etag:%22f77d1035088946d4cb8076325345eb0f%22	https://southpark2-beige.vercel.app/assets/img/enter/1.png	C:/Mes%20Sites%20Web/SOUTH%20PARK/southpark2-beige.vercel.app/assets/img/enter/1.png	(from https://southpark2-beige.vercel.app/)
23:38:35	825373/825373	---M--	200	added ('OK')	image/png	etag:%226ac2a3ce18fbcc365fac60953d23a041%22	https://southpark2-beige.vercel.app/assets/img/enter/2.png	C:/Mes%20Sites%20Web/SOUTH%20PARK/southpark2-beige.vercel.app/assets/img/enter/2.png	(from https://southpark2-beige.vercel.app/)
23:38:35	800869/800869	---M--	200	added ('OK')	image/png	etag:%223da863e4a48b13f980b2579bf98d9930%22	https://southpark2-beige.vercel.app/assets/img/enter/3.png	C:/Mes%20Sites%20Web/SOUTH%20PARK/southpark2-beige.vercel.app/assets/img/enter/3.png	(from https://southpark2-beige.vercel.app/)
23:38:35	992247/992247	---M--	200	added ('OK')	image/png	etag:%22062e9fd20fb6bbc2f963dc9eb6098aaf%22	https://southpark2-beige.vercel.app/assets/img/enter/4.png	C:/Mes%20Sites%20Web/SOUTH%20PARK/southpark2-beige.vercel.app/assets/img/enter/4.png	(from https://southpark2-beige.vercel.app/)
23:38:36	18001/18001	---MCZ	200	added ('OK')	text/html	etag:W/%2233474df31025d5c7326af8fd0a20b653%22	https://southpark2-beige.vercel.app/index.html	C:/Mes%20Sites%20Web/SOUTH%20PARK/southpark2-beige.vercel.app/index-2.html	(from https://southpark2-beige.vercel.app/)
23:38:36	102649/102649	---M--	200	added ('OK')	image/png	etag:%22b36ee6140cd461ec2f3bab4eb8d712c8%22	https://southpark2-beige.vercel.app/assets/img/logo2.png	C:/Mes%20Sites%20Web/SOUTH%20PARK/southpark2-beige.vercel.app/assets/img/logo2.png	(from https://southpark2-beige.vercel.app/)
23:38:36	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2009%20May%202025%2021:38:37%20GMT	https://southpark2-beige.vercel.app/assets/img/about-us/background.png	C:/Mes%20Sites%20Web/SOUTH%20PARK/southpark2-beige.vercel.app/assets/img/about-us/background.d.delayed	(from https://southpark2-beige.vercel.app/)
23:38:37	190006/190006	---M--	200	added ('OK')	image/gif	etag:%22d21a2a7f5b1b2ed66f1feba7fca795c9%22	https://southpark2-beige.vercel.app/assets/img/about-us/illustration.gif	C:/Mes%20Sites%20Web/SOUTH%20PARK/southpark2-beige.vercel.app/assets/img/about-us/illustration.gif	(from https://southpark2-beige.vercel.app/)
23:38:37	599432/599432	---M--	200	added ('OK')	image/gif	etag:%223a9cf6948757fe62f3f7da3450134641%22	https://southpark2-beige.vercel.app/assets/img/final/sonof.gif	C:/Mes%20Sites%20Web/SOUTH%20PARK/southpark2-beige.vercel.app/assets/img/final/sonof.gif	(from https://southpark2-beige.vercel.app/)
23:38:38	1512/1512	---MCZ	200	added ('OK')	application/javascript	etag:W/%223d2675b718bdbb58d21f724c39c23ebe%22	https://southpark2-beige.vercel.app/assets/js/app.js	C:/Mes%20Sites%20Web/SOUTH%20PARK/southpark2-beige.vercel.app/assets/js/app.js	(from https://southpark2-beige.vercel.app/)
23:38:38	167104/167104	---MCZ	200	added ('OK')	font/ttf	etag:W/%2220e48b2ec8c64b2a1ceb5b28d9bcc9d0%22	https://southpark2-beige.vercel.app/assets/fonts/BryndanWriteBook.ttf	C:/Mes%20Sites%20Web/SOUTH%20PARK/southpark2-beige.vercel.app/assets/fonts/BryndanWriteBook.ttf	(from https://southpark2-beige.vercel.app/assets/css/main.css)
23:38:38	24056/24056	---MCZ	200	added ('OK')	font/otf	etag:W/%22004826d02423896e9030c0813b248ca8%22	https://southpark2-beige.vercel.app/assets/fonts/Simpsonfont.otf	C:/Mes%20Sites%20Web/SOUTH%20PARK/southpark2-beige.vercel.app/assets/fonts/Simpsonfont.otf	(from https://southpark2-beige.vercel.app/assets/css/main.css)
23:38:38	843707/843707	---M--	200	added ('OK')	image/png	etag:%22dbc0710bab81ec2d0b7c0e899ece1622%22	https://southpark2-beige.vercel.app/assets/img/enter/background.png	C:/Mes%20Sites%20Web/SOUTH%20PARK/southpark2-beige.vercel.app/assets/img/enter/background.png	(from https://southpark2-beige.vercel.app/assets/css/main.css)
23:38:39	277050/277050	---M--	200	added ('OK')	image/png	etag:%22ff8e129a18cf0ddd32ed2ac4d81b00f6%22	https://southpark2-beige.vercel.app/assets/img/hero/background.png	C:/Mes%20Sites%20Web/SOUTH%20PARK/southpark2-beige.vercel.app/assets/img/hero/background.png	(from https://southpark2-beige.vercel.app/assets/css/main.css)
23:38:39	193773/193773	---M--	200	added ('OK')	image/png	etag:%22a4191cfe740fc636cd0b6a62b58eb9d6%22	https://southpark2-beige.vercel.app/assets/img/tokenomics/background.png	C:/Mes%20Sites%20Web/SOUTH%20PARK/southpark2-beige.vercel.app/assets/img/tokenomics/background.png	(from https://southpark2-beige.vercel.app/assets/css/main.css)
23:38:39	176/176	---M--	200	added ('OK')	image/svg+xml	etag:%221e14bbdacd27c2a9645aa94f34393d74%22	https://southpark2-beige.vercel.app/assets/img/final/background.svg	C:/Mes%20Sites%20Web/SOUTH%20PARK/southpark2-beige.vercel.app/assets/img/final/background.svg	(from https://southpark2-beige.vercel.app/assets/css/main.css)
